dt,request_cnt,total_color_kg,distinct_user_creators,distinct_colors
2025-09-11,4,49.57,3,4
2025-09-10,22,103.18,5,13
2025-09-09,26,62.50,3,18
2025-09-08,9,18.99,6,9
2025-09-06,1,0.42,1,1
2025-09-05,4,19.03,3,3
2025-09-04,16,38.15,4,11
2025-09-03,9,28.13,4,8
2025-09-02,8,38.97,1,8
2025-09-01,7,6.36,5,5
2025-08-29,26,50.50,3,20
2025-08-28,11,303.24,3,9
2025-08-27,17,42.18,3,13
2025-08-26,15,50.97,4,8
2025-08-25,21,31.36,4,15
2025-08-22,5,23.19,1,5
2025-08-21,11,7.42,4,7
2025-08-20,5,28.53,3,5
2025-08-19,9,30.18,2,9
2025-08-18,16,21.81,3,14
2025-08-14,67,432.35,6,33
2025-08-13,9,4.01,4,8
2025-08-12,8,16.53,5,5
2025-08-11,44,216.72,5,26
2025-08-08,19,15.26,3,10
2025-08-07,43,198.58,5,26
2025-08-06,34,110.53,4,23
2025-08-05,19,67.69,4,15
2025-08-04,74,329.08,5,33
2025-07-18,18,57.91,1,17
2025-07-17,10,124.62,3,7
2025-07-16,23,32.97,5,16
2025-07-15,28,78.11,4,21
2025-07-14,15,75.52,3,11
2025-07-11,13,46.26,3,11
2025-07-10,37,99.41,4,24
2025-07-09,41,166.19,4,22
2025-07-08,20,73.25,6,12
2025-07-07,14,53.18,3,13
2025-07-04,13,12.26,4,10
2025-07-03,16,29.16,3,9
2025-07-02,14,28.77,3,14
2025-07-01,12,132.74,3,9
2025-06-30,14,76.84,4,10
2025-06-27,2,63.66,1,2
2025-06-26,38,45.72,7,20
2025-06-25,22,30.14,4,17
2025-06-24,46,347.29,6,27
2025-06-23,35,85.71,5,19
2025-06-21,15,36.62,4,11
2025-06-20,8,7.77,2,7
2025-06-19,8,106.72,3,8
2025-06-18,23,80.45,3,20
2025-06-17,22,39.94,6,15
2025-06-16,5,113.72,3,5
2025-06-13,43,134.37,6,20
2025-06-12,21,139.17,3,18
2025-06-11,8,18.43,3,7
2025-06-10,9,38.60,3,7
2025-06-09,27,142.27,4,18
2025-06-06,14,40.22,5,11
2025-06-05,25,88.38,3,15
2025-06-04,27,83.98,6,18
2025-06-03,7,2.16,3,7
2025-06-02,9,39.47,4,7
2025-05-30,6,136.37,2,5
2025-05-29,40,109.06,6,30
2025-05-28,21,107.39,3,17
2025-05-27,21,130.79,4,18
2025-05-26,27,262.86,5,13
2025-05-23,34,70.98,5,24
2025-05-22,11,8.82,1,8
2025-05-21,16,20.91,2,15
2025-05-20,18,45.98,2,13
2025-05-19,22,49.58,4,16
2025-05-16,23,30.33,1,15
2025-05-15,30,71.24,4,23
2025-05-14,9,3.93,3,8
2025-05-13,10,12.30,4,10
2025-05-12,7,5.57,5,7
2025-05-10,1,0.00,1,1
2025-05-09,7,61.72,5,6
2025-05-08,34,108.18,3,21
2025-05-07,12,74.06,3,10
2025-05-06,14,22.80,3,12
2025-05-05,30,116.69,4,25
2025-05-03,1,1.95,1,1
2025-04-29,15,133.35,2,14
2025-04-28,5,3.88,1,5
2025-04-26,1,9.11,1,1
2025-04-25,27,89.33,1,20
2025-04-24,8,20.54,2,6
2025-04-23,16,27.29,1,16
2025-04-22,5,12.95,1,4
2025-04-18,17,69.31,2,11
2025-04-17,9,8.23,3,8
2025-04-16,7,33.95,1,7
2025-04-15,10,111.50,2,7
2025-04-14,21,94.38,2,15
2025-04-11,21,26.95,3,16
2025-04-10,6,86.47,1,5
2025-04-09,14,51.48,4,7
2025-04-08,10,24.17,3,7
2025-04-07,6,267.25,2,4
2025-04-04,5,75.08,2,4
2025-04-03,13,27.14,2,10
2025-04-02,8,51.29,1,7
2025-04-01,21,27.87,4,15
2025-03-31,33,73.66,1,18
2025-03-27,17,109.19,2,12
2025-03-26,7,16.65,1,7
2025-03-25,24,113.23,4,15
2025-03-24,16,68.03,1,12
2025-03-21,4,18.17,2,4
2025-03-20,11,17.58,1,9
2025-03-19,10,31.52,2,10
2025-03-18,9,56.19,1,8
2025-03-17,34,265.59,4,24
2025-03-14,22,23.97,5,18
2025-03-13,23,87.10,3,16
2025-03-12,19,55.17,5,13
2025-03-11,19,60.87,3,16
2025-03-10,11,20.57,3,10
2025-03-07,8,39.18,2,5
2025-03-06,24,72.49,2,13
2025-03-05,16,96.78,2,15
2025-03-04,8,47.16,2,6
2025-03-03,11,189.20,1,9
2025-02-28,22,60.77,3,15
2025-02-27,21,37.29,1,12
2025-02-26,5,23.04,2,5
2025-02-25,12,40.45,5,8
2025-02-24,38,126.47,3,21
2025-02-21,10,19.86,2,9
2025-02-20,17,81.86,2,14
2025-02-19,6,2.68,3,6
2025-02-18,6,5.97,1,6
2025-02-17,19,20.92,5,11
2025-02-14,8,28.21,2,5
2025-02-13,52,249.59,5,29
2025-02-12,9,31.08,2,7
2025-02-11,6,49.43,3,6
2025-02-10,10,87.22,2,9
2025-02-07,10,20.15,3,9
2025-02-06,30,69.26,2,24
2025-02-05,5,26.86,1,3
2025-02-04,6,12.38,3,6
2025-02-03,2,57.85,1,2
2025-01-31,21,16.57,5,16
2025-01-30,3,1.63,3,3
2025-01-29,33,75.80,4,26
2025-01-28,5,5.23,2,5
2025-01-27,10,33.97,4,8
2025-01-24,27,4460.84,5,17
2025-01-23,23,110.82,3,20
