dt,request_cnt,total_color_kg,distinct_user_creators,distinct_colors
2025-09-11,69,251.05,5,5
2025-09-05,45,143.90,4,5
2025-08-29,90,478.25,2,5
2025-08-21,46,111.13,4,4
2025-08-13,128,669.61,3,4
2025-08-06,189,721.14,3,5
2025-07-15,94,369.13,4,5
2025-07-08,125,438.29,3,5
2025-07-01,69,279.77,2,3
2025-06-23,143,572.52,5,5
2025-06-17,81,385.22,4,6
2025-06-10,108,472.84,3,3
2025-06-02,82,254.21,4,4
2025-05-26,115,746.47,5,5
2025-05-19,101,196.27,4,5
2025-05-16,79,123.37,4,5
2025-05-05,98,383.45,4,6
2025-05-03,21,139.18,2,3
2025-04-25,57,159.22,2,5
2025-04-16,64,317.37,3,4
2025-04-09,57,456.32,4,4
2025-04-02,80,255.04,3,5
2025-03-24,64,307.10,3,3
2025-03-17,68,389.05,3,5
2025-03-10,94,247.68,2,4
2025-03-07,67,444.81,2,5
2025-02-28,98,288.02,4,5
2025-02-21,58,131.29,4,4
2025-02-14,85,445.53,3,5
2025-02-06,53,186.50,3,5
2025-01-30,72,133.20,4,5
2025-01-23,127,4759.57,3,5
2025-01-14,38,109.79,4,4
2025-01-07,91,313.89,3,5
2024-12-23,1,24.05,1,1
2024-12-16,13,109.23,2,3
2024-12-13,70,180.36,2,5
2024-12-06,14,43.67,2,3
2024-11-27,54,175.31,4,4
2024-11-20,66,177.35,3,5
2024-11-11,52,277.95,1,4
2024-11-04,44,116.72,4,5
2024-10-30,14,101.11,2,3
2024-10-24,49,175.28,3,4
2024-10-16,31,175.39,4,4
2024-10-09,89,289.85,4,5
2024-10-01,31,138.16,3,4
2024-09-23,43,284.30,3,5
2024-09-20,43,231.37,2,4
2024-09-13,17,26.73,2,3
2024-09-03,42,233.76,3,4
2024-08-30,36,53.77,2,4
2024-08-21,45,72.32,3,3
2024-08-12,51,192.01,3,3
2024-08-05,118,505.38,5,5
2024-07-17,34,77.33,3,3
2024-07-10,96,161.84,2,5
2024-07-03,41,197.10,3,4
2024-06-26,45,256.80,2,3
2024-06-21,75,332.28,3,4
2024-06-14,75,330.50,3,5
2024-06-07,53,177.97,3,5
2024-05-30,33,44.60,3,4
2024-05-22,12,16.19,3,3
2024-05-14,90,236.79,4,5
2024-05-07,70,210.56,4,4
2024-04-22,73,231.56,3,5
2024-04-15,33,191.35,4,5
2024-04-08,55,254.99,3,5
2024-04-05,56,150.59,3,4
2024-03-28,53,365.51,5,4
2024-03-21,113,422.19,4,5
2024-03-14,47,179.51,2,5
2024-03-06,31,68.59,3,5
2024-02-28,49,72.80,3,5
2024-02-21,32,147.72,3,5
2024-02-12,44,109.42,2,4
2024-02-07,17,28.70,2,2
2024-01-31,46,98.64,4,4
2024-01-24,57,135.68,3,5
2024-01-16,106,325.55,3,5
2024-01-10,91,186.90,4,5
2024-01-03,1,33.90,1,1
2023-12-21,28,195.51,2,4
2023-12-14,84,342.70,5,5
2023-12-07,68,192.96,3,3
2023-11-30,60,123.19,4,4
2023-11-22,100,350.15,5,3
2023-11-16,111,329.21,4,5
2023-11-09,94,322.08,3,5
2023-11-03,39,134.71,1,2
2023-10-27,114,349.62,3,5
2023-10-20,116,343.52,3,3
2023-10-13,150,399.42,3,5
2023-10-05,91,270.91,3,4
2023-09-28,164,391.10,4,4
2023-09-21,114,256.25,3,5
2023-09-13,120,401.29,3,5
2023-09-06,129,314.14,3,5
2023-08-30,95,445.51,3,4
2023-08-22,133,392.35,3,4
2023-08-14,87,262.08,3,4
2023-08-07,115,475.22,3,5
2023-07-24,1,0.18,1,1
2023-07-17,43,118.81,3,4
2023-07-11,135,600.68,4,6
2023-07-04,88,577.01,4,5
2023-06-26,144,497.31,3,5
2023-06-19,132,408.62,4,3
2023-06-12,103,304.60,5,5
2023-06-06,96,456.68,3,7
2023-05-30,127,217.88,5,5
2023-05-23,128,458.83,4,5
2023-05-16,153,413.78,5,6
2023-05-10,106,340.52,4,5
2023-05-05,99,210.87,4,4
2023-04-26,88,352.86,3,3
2023-04-17,76,229.39,3,5
2023-04-11,92,341.32,4,4
2023-04-03,76,295.57,4,4
2023-03-28,157,364.27,4,5
2023-03-21,111,230.14,4,5
2023-03-13,100,313.04,4,5
2023-03-06,41,70.53,4,4
2023-02-28,109,460.10,3,5
2023-02-20,107,223.96,2,5
2023-02-13,94,391.00,3,5
2023-02-06,76,239.01,3,5
2023-02-03,94,327.89,3,5
2023-01-27,87,399.12,3,4
2023-01-20,114,333.57,3,5
2023-01-13,87,223.64,3,5
2023-01-04,5,11.59,2,2
2022-12-28,2,1.98,1,1
2022-12-20,53,214.50,3,5
2022-12-13,84,495.91,3,5
2022-12-08,65,437.88,3,4
2022-11-28,84,398.34,4,6
2022-11-21,113,334.62,4,4
2022-11-18,92,404.09,3,4
2022-11-11,91,243.96,3,5
2022-11-06,63,210.12,3,4
2022-10-27,101,431.86,4,4
2022-10-19,99,317.57,5,4
2022-10-12,105,337.40,5,5
